BOR;AN;FI;RS;FI_EJ;GDE;AUT;LIT;JLI;PLA;SEJHC;JOUHC;JOUHP;EMSSR
SSR;2024;010000024;CH DE FLEYRIAT;010780054;SSR_A;;42;15372;17;487;17264;3486;
SSR;2024;010000024;CH DE FLEYRIAT;010780054;SSR_A50;1;23;;;;7331;0;
SSR;2024;010000024;CH DE FLEYRIAT;010780054;SSR_A53;1;0;;5;;0;1697;
SSR;2024;010000024;CH DE FLEYRIAT;010780054;SSR_A54;1;0;;5;;0;910;
SSR;2024;010000024;CH DE FLEYRIAT;010780054;SSR_A59;1;19;;7;;9933;879;
SSR;2024;010000024;CH DE FLEYRIAT;010780054;SSR_TOT;;42;15372;17;487;17264;3486;
SSR;2024;010000032;CH BUGEY SUD;010780062;SSR_A;;40;14640;8;401;14136;2356;
SSR;2024;010000032;CH BUGEY SUD;010780062;SSR_A50;1;40;;8;;14136;2356;
SSR;2024;010000032;CH BUGEY SUD;010780062;SSR_TOT;;40;14640;8;401;14136;2356;0
SSR;2024;010000065;CH DE TREVOUX - MONTPENSIER;010780096;SSR_A;;73;26718;;740;24308;0;
SSR;2024;010000065;CH DE TREVOUX - MONTPENSIER;010780096;SSR_A50;1;45;;;;15239;0;
SSR;2024;010000065;CH DE TREVOUX - MONTPENSIER;010780096;SSR_A59;1;28;;;;9069;0;
SSR;2024;010000065;CH DE TREVOUX - MONTPENSIER;010780096;SSR_TOT;;73;26718;;740;24308;0;0
SSR;2024;010000081;CH DU PAYS DE GEX;010780112;SSR_A;;20;7300;;157;6814;0;
SSR;2024;010000081;CH DU PAYS DE GEX;010780112;SSR_A50;1;20;;;;6814;0;
SSR;2024;010000081;CH DU PAYS DE GEX;010780112;SSR_TOT;;20;7300;;157;6814;0;0
SSR;2024;010000099;CH DE MEXIMIEUX;010780120;SSR_A;;20;7320;;322;7658;0;
SSR;2024;010000099;CH DE MEXIMIEUX;010780120;SSR_A50;1;20;;;;7658;0;
SSR;2024;010000099;CH DE MEXIMIEUX;010780120;SSR_TOT;;20;7320;;322;7658;0;0
SSR;2024;010000107;CH DE PONT DE VAUX;010780138;SSR_A;;20;7320;;168;6383;0;
SSR;2024;010000107;CH DE PONT DE VAUX;010780138;SSR_A50;1;20;;;;6383;0;
SSR;2024;010000107;CH DE PONT DE VAUX;010780138;SSR_TOT;;20;7320;;168;6383;0;0
SSR;2024;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;SSR_A;;18;6588;;190;6332;0;
SSR;2024;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;SSR_A50;1;18;;;;6332;0;
