BOR;AN;FI;RS;FI_EJ;PERSO;ETPSAL;EFFLIB
SSR_P;2024;010000024;CH DE FLEYRIAT;010780054;M1010;1.63;
SSR_P;2024;010000024;CH DE FLEYRIAT;010780054;M1180;1.3;
SSR_P;2024;010000024;CH DE FLEYRIAT;010780054;M1320;2.23;
SSR_P;2024;010000024;CH DE FLEYRIAT;010780054;N241P;0.68;
SSR_P;2024;010000024;CH DE FLEYRIAT;010780054;N2430;0.07;
SSR_P;2024;010000024;CH DE FLEYRIAT;010780054;N2450;0.07;
SSR_P;2024;010000024;CH DE FLEYRIAT;010780054;N2460;0.74;
SSR_P;2024;010000024;CH DE FLEYRIAT;010780054;N2470;0.5;
SSR_P;2024;010000024;CH DE FLEYRIAT;010780054;N2500;22.87;
SSR_P;2024;010000024;CH DE FLEYRIAT;010780054;N2710;0.36;
SSR_P;2024;010000024;CH DE FLEYRIAT;010780054;N310H;0.88;
SSR_P;2024;010000024;CH DE FLEYRIAT;010780054;N3120;0.5;
SSR_P;2024;010000024;CH DE FLEYRIAT;010780054;NAUT;9.9;
SSR_P;2024;010000024;CH DE FLEYRIAT;010780054;NCINF;14.65;
SSR_P;2024;010000032;CH BUGEY SUD;010780062;M1010;1.16;
SSR_P;2024;010000032;CH BUGEY SUD;010780062;M1320;0.91;
SSR_P;2024;010000032;CH BUGEY SUD;010780062;N241P;2.88;
SSR_P;2024;010000032;CH BUGEY SUD;010780062;N2430;0.25;
SSR_P;2024;010000032;CH BUGEY SUD;010780062;N2460;0.92;
SSR_P;2024;010000032;CH BUGEY SUD;010780062;N2500;13.25;
SSR_P;2024;010000032;CH BUGEY SUD;010780062;N2710;1.93;
SSR_P;2024;010000032;CH BUGEY SUD;010780062;N3120;0.18;
SSR_P;2024;010000032;CH BUGEY SUD;010780062;NAUT;5.8;
SSR_P;2024;010000032;CH BUGEY SUD;010780062;NCINF;10.71;
SSR_P;2024;010000065;CH DE TREVOUX - MONTPENSIER;010780096;M1010;2.41;
SSR_P;2024;010000065;CH DE TREVOUX - MONTPENSIER;010780096;M1320;3.52;
SSR_P;2024;010000065;CH DE TREVOUX - MONTPENSIER;010780096;N241P;2.7;
SSR_P;2024;010000065;CH DE TREVOUX - MONTPENSIER;010780096;N2430;;1
SSR_P;2024;010000065;CH DE TREVOUX - MONTPENSIER;010780096;N2450;0.75;
SSR_P;2024;010000065;CH DE TREVOUX - MONTPENSIER;010780096;N2460;1.9;
SSR_P;2024;010000065;CH DE TREVOUX - MONTPENSIER;010780096;N2470;1;
SSR_P;2024;010000065;CH DE TREVOUX - MONTPENSIER;010780096;N2500;37.78;
SSR_P;2024;010000065;CH DE TREVOUX - MONTPENSIER;010780096;N2710;1.6;
SSR_P;2024;010000065;CH DE TREVOUX - MONTPENSIER;010780096;N310H;0.15;
SSR_P;2024;010000065;CH DE TREVOUX - MONTPENSIER;010780096;N3120;2;
SSR_P;2024;010000065;CH DE TREVOUX - MONTPENSIER;010780096;NAUT;4.56;2
SSR_P;2024;010000065;CH DE TREVOUX - MONTPENSIER;010780096;NCINF;32.53;
SSR_P;2024;010000081;CH DU PAYS DE GEX;010780112;M1010;1;
SSR_P;2024;010000081;CH DU PAYS DE GEX;010780112;N241P;1.5;
SSR_P;2024;010000081;CH DU PAYS DE GEX;010780112;N2450;0.27;
SSR_P;2024;010000081;CH DU PAYS DE GEX;010780112;N2460;0.2;
SSR_P;2024;010000081;CH DU PAYS DE GEX;010780112;N2470;0.5;
SSR_P;2024;010000081;CH DU PAYS DE GEX;010780112;N2500;18.4;
SSR_P;2024;010000081;CH DU PAYS DE GEX;010780112;N2710;0.5;
SSR_P;2024;010000081;CH DU PAYS DE GEX;010780112;N310H;0.21;
SSR_P;2024;010000081;CH DU PAYS DE GEX;010780112;N3120;0.5;
SSR_P;2024;010000081;CH DU PAYS DE GEX;010780112;NAUT;1;
SSR_P;2024;010000081;CH DU PAYS DE GEX;010780112;NCINF;7.1;
SSR_P;2024;010000099;CH DE MEXIMIEUX;010780120;M1320;1;
SSR_P;2024;010000099;CH DE MEXIMIEUX;010780120;N241P;1;
SSR_P;2024;010000099;CH DE MEXIMIEUX;010780120;N2450;0.1;
SSR_P;2024;010000099;CH DE MEXIMIEUX;010780120;N2500;15;
