BOR;AN;FI;RS;GRP;FI_ET;RS_ET
ST;2024;010007987;CH PUBLIC HAUTEVILLE;02;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE
ST;2024;010007987;CH PUBLIC HAUTEVILLE;02;010000198;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT
ST;2024;010007987;CH PUBLIC HAUTEVILLE;02;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE
ST;2024;010008407;CH DU HAUT BUGEY;02;010005239;CH DU HAUT BUGEY - GEOVREISSET
ST;2024;010008407;CH DU HAUT BUGEY;02;010789717;USLD CH D'OYONNAX
ST;2024;010009132;CHI AIN VAL DE SAONE;02;010000115;CHI AIN VAL DE SAONE - PONT VEYLE
ST;2024;010009132;CHI AIN VAL DE SAONE;02;010000131;CHI AIN VAL DE SAONE - THOISSEY
ST;2024;010780054;CH FLEYRIAT;02;010000024;CH DE FLEYRIAT
ST;2024;010780054;CH FLEYRIAT;02;010009702;USLD EMILE PELICAND
ST;2024;010780062;CH BUGEY SUD;02;010000032;CH BUGEY SUD
ST;2024;010780096;CH DE TREVOUX;02;010000065;CH DE TREVOUX - MONTPENSIER
ST;2024;010780096;CH DE TREVOUX;02;010789576;USLD
ST;2024;010780112;CH DU PAYS DE GEX;02;010000081;CH DU PAYS DE GEX
ST;2024;010780120;CH DE MEXIMIEUX;02;010000099;CH DE MEXIMIEUX
ST;2024;010780138;CH DE PONT DE VAUX;02;010000107;CH DE PONT DE VAUX
ST;2024;020000022;CENTRE HOSPITALIER DE GUISE;02;020000089;CH GUISE
ST;2024;020000048;CENTRE HOSPITALIER GERONTOLOGIQUE;02;020000097;CH LA FÈRE
ST;2024;020000055;CH NOUVION EN THIERACHE;02;020000105;CH LE NOUVION-EN-THIÉRACHE
ST;2024;020000063;CH DE SAINT QUENTIN;02;020000162;CH SAINT-QUENTIN
ST;2024;020000063;CH DE SAINT QUENTIN;02;020006664;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN
ST;2024;020000063;CH DE SAINT QUENTIN;02;020016366;SMUR CH SAINT-QUENTIN GUISE
ST;2024;020000071;CENTRE HOSPITALIER DE VERVINS;02;020000246;CH VERVINS
ST;2024;020000253;CH DE LAON;02;020000394;CH LAON
ST;2024;020000253;CH DE LAON;02;020003877;SSR CH LAON
ST;2024;020000253;CH DE LAON;02;020005476;USLD CH LAON
ST;2024;020000261;CENTRE HOSPITALIER DE SOISSONS;02;020000519;CH SOISSONS
ST;2024;020000261;CENTRE HOSPITALIER DE SOISSONS;02;020004677;USLD CH SOISSONS
