"FI";"FI_EJ";"AN";"LIT_MED";"LIT_CHI";"LIT_OBS";"LIT_MCO";"SEJHC_MED";"SEJHC_CHI";"SEJHC_OBS";"SEJHC_MCO";"JOU_MED";"JOU_CHI";"JOU_OBS";"JOU_MCO";"PLA_MED";"PLA_CHI";"PLA_OBS";"PLA_MCO";"SEJHP_MED";"SEJHP_CHI";"SEJHP_OBS";"SEJHP_MCO";"SEANCES_MED";"SPED";"UGER";"UNV";"USURV";"CAP_HC_GEN";"CAP_HC_INF";"CAP_HC_PEN";"CAP_HC_TOT";"SEJ_HTP_GEN";"SEJ_HTP_INF";"SEJ_HTP_PEN";"SEJ_HTP_TOT";"CAP_HDJ_GEN";"CAP_HDJ_INF";"CAP_HDJ_PEN";"CAP_HDJ_TOT";"VEN_HDJ_GEN";"VEN_HDJ_INF";"VEN_HDJ_PEN";"VEN_HDJ_TOT";"CAP_HDN_GEN";"CAP_HDN_INF";"CAP_HDN_TOT";"VEN_HDN_GEN";"VEN_HDN_INF";"VEN_HDN_TOT";"NB_CATTP_GEN";"NB_CATTP_INF";"NB_CATTP_TOT";"ACT_CATTP_GEN";"ACT_CATTP_INF";"ACT_CATTP_TOT";"NB_CMP_CONSULT_GEN";"NB_CMP_CONSULT_INF";"NB_CMP_CONSULT_TOT";"ACT_CMP_CONSULT_GEN";"ACT_CMP_CONSULT_INF";"ACT_CMP_CONSULT_TOT";"FIL_AMB_GEN";"FIL_AMB_INF";"FIL_AMB_PEN";"FIL_AMB_TOT";"FIL_TOT_GEN";"FIL_TOT_INF";"FIL_TOT_PEN";"FIL_TOT_TOT";"NB_USMP_1";"ACT_PEN";"NB_UHSA";"NB_SMPR";"NB_USMP_2";"LIT_SSR";"SEJHC_SSR";"JOUHC_SSR";"PLA_SSR";"JOUHP_SSR";"LIT_USLD";"ENT";"JOU_USLD";"PLATOT_HAD";"SEJ_HAD";"JOU_HAD";"FIL_HAD";"AUTGEN";"PASSU_GEN";"AUTPED";"PASSU_PED";"GEN";"PED";"ANT";"SAMU";"REA";"SEJ_REASI";"SEJ_SURV";"CPPR";"TYPE1";"SEJACC";"TYPE2";"SEJ_NEO";"TYPE3";"SEJ_REA";"TRT_HEMO_CENTRE";"SEAN_HEMO_CENTRE";"TRT_INSUFF_REN";"SEM_TRT_INSUFF_REN";"CHIMIO";"SEAN_CHIMIO";"RTH";"SEAN_RADIO";"CHIRCAR";"CARDIO_INT";"NEUROCHIR";"NEURO_INT";"GREFFE";"AMP";"PRIS";"EFFSAL_SPEMED";"EFFSAL_DT_MEDGEN";"EFFSAL_DT_URG";"EFFSAL_DT_ANESTREA";"EFFSAL_SPECHI";"EFFSAL_DT_GYNOBS";"EFFSAL_PSY";"EFFSAL_ODON";"EFFSAL_PHARMA";"EFFSAL_AUT";"EFFSAL_TOT";"EFFLIB_SPEMED";"EFFLIB_DT_MEDGEN";"EFFLIB_DT_URG";"EFFLIB_DT_ANESTREA";"EFFLIB_SPECHI";"EFFLIB_DT_GYNOBS";"EFFLIB_PSY";"EFFLIB_ODON";"EFFLIB_PHARMA";"EFFLIB_AUT";"EFFLIB_TOT";"ETPSAL_SPEMED";"ETPSAL_DT_MEDGEN";"ETPSAL_DT_URG";"ETPSAL_DT_ANESTREA";"ETPSAL_SPECHI";"ETPSAL_DT_GYNOBS";"ETPSAL_PSY";"ETPSAL_ODON";"ETPSAL_PHARMA";"ETPSAL_AUT";"ETPSAL_TOT";"EFF_INT";"ETP_INT";"EFFPNM_SAG";"EFFPNM_CAD";"EFFPNM_INFAVECSPE";"EFFPNM_INFSANSSPE";"EFFPNM_AID";"EFFPNM_ASH";"EFFPNM_PSYCHO";"EFFPNM_REEDU";"EFFPNM_SOINS";"EFFPNM_DIR";"EFFPNM_DIRSOI";"EFFPNM_AUTADM";"EFFPNM_EDU";"EFFPNM_DTSOC";"EFFPNM_PERSPHARMA";"EFFPNM_PERSLABO";"EFFPNM_PERSRADIO";"EFFPNM_AUTMEDTEC";"EFFPNM_TEC";"EFFPNM_TOT_HORS_SOINS";"EFFPNM_TOT_PNM";"ETPPNM_SAG";"ETPPNM_CAD";"ETPPNM_INFAVECSPE";"ETPPNM_INFSANSSPE";"ETPPNM_AID";"ETPPNM_ASH";"ETPPNM_PSYCHO";"ETPPNM_REEDU";"ETPPNM_SOINS";"ETPPNM_DIR";"ETPPNM_DIRSOI";"ETPPNM_AUTADM";"ETPPNM_EDU";"ETPPNM_DTSOC";"ETPPNM_PERSPHARMA";"ETPPNM_PERSLABO";"ETPPNM_PERSRADIO";"ETPPNM_AUTMEDTEC";"ETPPNM_TEC";"ETPPNM_TOT_HORS_SOINS";"ETPPNM_TOT_PNM";"BIOGENSPE";"MICROBIO";"HEMATO";"IMMUNO";"GENE";"ASSISTMED";"ANOTO";"PHARMA_A7";"PHARMA_B7";"PHARMA_C7";"PHARMA_D7";"PHARMA_E7";"PHARMA_A11";"PHARMA_A20";"PHARMA_A26";"NB_SCAN";"NB_IRM";"NB_CAM";"NB_TOMO";"NB_MAMM";"NB_LITHO";"NB_RADIO";"NB_VASC";"ACT_SCAN";"ACT_IRM";"ACT_CAM";"ACT_TOMO";"ACT_MAMM";"ACT_LITHO";"ACT_RADIO";"ACT_VASC";"SAL_INTERV";"SALTOT24";"SALAMBU";"ACT_BLOCS";"SURV_TOT";"POST_REVEIL"
"010000024";"010780054";"2024";239;68;36;343;11485;3819;3507;18811;81994;19507;10297;111798;22;20;4;46;4404;3871;669;8944;43000;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1332;;;;42;487;17264;17;3486;60;71;20861;45;571;11113;286;1;48373;0;;1;0;0;1;1;1037;821;0;0;1774;1;275;0;0;1;10935;1;156;1;11383;1;20587;1;1;0;0;0;0;1;144;24;21;28;36;11;0;2;18;2;202;0;0;0;0;6;6;0;0;0;0;6;122,46;25,66;16,2;24,9;31,2;9,9;0;1,6;16,3;1,9;178,26;71;68,78;46;29;92;489;419;105;20;44;1244;5;2;295;20;9;34;38;34;3;272;703;1947;36,7;28,09;81,74;458,17;390,2;102,4;12,6;30,54;1140,44;4,81;1,4;266,01;16,04;6,75;33,82;35,36;30,81;2,77;266,41;657,43;1797,87;;;;;;;;290;0;52;104;169;1;1;1;2;3;0;0;0;0;4;2;1;0;0;0;0;0;1;1;12;2;;15351;2;20
"010000032";"010780062";"2024";56;19;8;83;2938;953;389;4280;17658;3895;1371;22924;8;8;1;17;150;1748;78;1976;851;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;40;401;14136;8;2356;;;;;;;;1;12187;0;;1;0;0;0;0;;448;0;1;309;0;0;0;0;;;;;1;851;0;0;0;0;0;0;0;0;1;18;8;2;1;9;2;0;0;3;0;30;0;0;0;0;0;0;0;0;0;0;0;15,59;6,62;3,71;0,55;8;1;0;0;2,67;0;26,26;2;3,97;14;9;4;94;80;54;6;11;272;2;0;71;1;1;10;9;9;1;41;144;416;11,3;7,88;4,57;89,91;77,36;40,41;3,34;9,37;244,14;1,8;0;59,79;1,74;1,74;7,77;9;8,45;1;31,17;120,72;364,86;;;;;;;;133;0;40;0;185;1;1;0;1;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;4;3;0;3842;1;6
"010000065";"010780096";"2024";59;;;59;2201;0;0;2201;20149;0;0;20149;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;73;740;24308;0;0;;;;;;;;;;;;;;;;0;;;;;0;;0;;0;;;;;0;;0;;0;0;0;0;0;0;1;24;14;0;0;0;0;0;0;1;1;26;0;0;0;0;0;0;0;0;0;0;0;17,13;11,47;0;0;0;0;0;0;1,07;0,2;18,4;3;1,84;0;8;0;74;99;4;5;17;207;1;0;24;7;5;7;0;2;0;20;61;268;0;8,27;0;64,06;88,29;3,02;4,06;13,61;181,31;0,6;0;18,52;4,99;3,69;3,52;0;0,85;0;10,71;39,19;220,5;;;;;;;;62;0;73;30;234;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;;
"010000081";"010780112";"2024";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;20;157;6814;0;0;30;23;9185;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;;;;;;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1,5;1,5;0;0;0;0;0;0;0;0;1,5;;;0;1;0;10;19;27;2;7;66;4;0;11;14;1;3;0;0;0;29;61;127;0;1;0;9,4;17,9;16,2;0,34;1,06;45,9;0,68;0;2,72;2,07;0,14;0,48;0;0;0;5,29;11,24;57,14;;;;;;;;0;0;20;30;240;1;0;0;;;;;;;;;;;;;;;;;;;;;;
"010000099";"010780120";"2024";10;0;0;10;168;0;0;168;2261;0;0;2261;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;20;322;7658;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;1;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0,98;0;0;0;0;0;0;0;0,87;0;1,85;;;0;1;0;9;14;8;1;4;37;3;0;7;1;1;2;0;0;0;8;21;58;0;1;0;5,11;12,61;4,75;0,7;1,59;25,76;0,91;0;3,66;0,5;0,5;1,06;0;0;0;2,71;8,84;34,6;;;;;;;;10;;20;;121;1;1;0;;;;;;;;;;;;;;;;;;;;;;
"010000107";"010780138";"2024";3;0;0;3;70;0;0;70;857;0;0;857;0;0;0;0;0;0;0;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;20;168;6383;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;3;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;2,5;0;0;0;0;0;0;0;0,38;0;2,88;;;0;1;0;8;11;5;1;4;30;1;0;11;1;1;2;0;0;0;16;31;61;0;0,54;0;6,88;11,07;4,51;0,5;1,79;25,29;0,17;0;2,8;0,39;0,39;0,3;0;0;0;2,99;6,65;31,94;;;;;;;;15;;20;;;1;1;0;;;;;;;;;;;;;;;;;;;;;;
"010000115";"010009132";"2024";12;;;12;113;0;0;113;2777;0;0;2777;;;;;0;0;0;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;18;190;6332;0;0;30;20;10155;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;4;3;0;0;0;0;0;0;1;0;5;0;0;0;0;0;0;0;0;0;0;0;3,12;2,12;0;0;0;0;0;0;0,66;0;3,78;;;0;1;0;15;21;15;2;7;61;2;1;12;2;1;3;0;0;0;15;35;96;0;0,75;0;13,68;19,67;17,89;0,49;3,74;56,22;0,52;0,26;6,22;0,71;0,61;2,03;0;0;0;12,69;22,43;78,65;;;;;;;;12;0;18;30;111;1;1;0;;;;;;;;;;;;;;;;;;;;;;
"010000131";"010009132";"2024";8;0;0;8;131;0;0;131;2617;0;0;2617;0;0;0;0;0;0;0;0;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29;338;8645;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;3;1;0;0;0;0;0;0;2;0;5;0;0;0;0;0;0;0;0;0;0;0;1,63;0,41;0;0;0;0;0;0;1,22;0;2,85;;;0;1;0;13;14;13;1;5;47;2;1;11;2;1;2;0;0;0;11;29;76;0;1;0;12,29;11,72;13;0,21;2,02;40,24;0,6;0,3;7,16;0,63;0,49;1,35;0;0;0;9,64;19,68;59,92;;;;;;;;8;0;29;0;234;1;1;0;;;;;;;;;;;;;;;;;;;;;;
"010000180";"010007987";"2024";8;;;8;236;0;0;236;2038;0;0;2038;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36;381;7327;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1,55;1,48;0;0;0;0;0;0;0;0;1,55;;0;0;1;0;5;5;8;3;0;22;0;0;2;2;0;0;0;0;0;0;4;26;0;1;0;4,93;4,99;7,96;3;0;21,88;0;0;2;1,87;0;0;0;0;0;0;3,87;25,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"010000198";"010007987";"2024";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;67;969;17034;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;;;;;;3;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;3,65;3,34;0;0;0;0;0;0;0;0;3,65;1;0,17;0;1;0;9;9;16;0;7;42;0;0;5;8;0;0;0;0;0;9;22;64;0;1;0;7,68;9,05;15,06;0;7;39,79;0;0;4,77;6,33;0;0;0;0;0;8,29;19,39;59,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
