BOR;AN;FI;RS;FI_EJ;URG;REG;SAO;ACC;PASSU;dt80;dt18;dtMCO;dtMCO80;dtMCO18;dtLS;dtLS80;dtLS18;dtHAD;dtHAD80;dtHAD18;dtEXT;dtEXT80;dtEXT18;dtHOSP;dtTRANS;LIT_UHCD;JLI_UHCD;SEJ_UHCD;SEJ0_UHCD;JOU_UHCD;ACCSPE_PED;ACCSPE_PSY;ACCSPE_GER;ACCSPE_AUT;STAP;RMM;IMPL_SMUR_SITE;CONVURG24;FICONV;OUV_SEMAINE;AMPL_SEMAINE;OUV_SAM;AMPL_SAM;OUV_DIMFERIE;AMPL_DIMFERIE
URGENCES2;2024;010000024;CH DE FLEYRIAT;010780054;GEN;3;1;IAO;48373;5924;13201;8399;1567;1320;1;;;;;;179;38;2;8579;;10;3660;3653;431;3696;1;0;0;0;1;1;;;;;;;;;
URGENCES2;2024;010000032;CH BUGEY SUD;010780062;GEN;2;1;IAO;12187;1322;3856;2047;788;350;0;0;0;0;0;0;290;23;8;2337;;4;1464;444;258;193;0;0;0;0;0;1;;;;;;;;;
URGENCES2;2024;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;GEN;3;1;IAOMAO;21958;2086;4780;;;;;;;;;;;;;;;5;1830;1591;350;1518;0;0;0;0;0;1;;;;;;;;;
URGENCES2;2024;010780195;CLINIQUE CONVERT;010000156;GEN;2;1;IAO;25647;2077;4271;;;;;;;;;;;;;;;4;1460;1727;1273;375;0;0;0;0;1;1;;;;;;;;;
URGENCES2;2024;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;GEN;3;1;IAO;38635;4088;8960;;;;;;;;;;;;;;;6;2190;3450;1443;2297;1;0;0;0;1;1;;;;;;;;;
URGENCES2;2024;020000162;CH SAINT-QUENTIN;020000063;GEN;3;1;IAOMAO;32717;5522;30;9026;2846;4;18;5;1;0;0;0;738;0;0;9782;;10;3660;7764;3180;4672;0;1;0;0;1;0;;;;;24;;24;;24
URGENCES2;2024;020000162;CH SAINT-QUENTIN;020000063;PED;3;1;IAO;19205;;;;;;;;;;;;;;;2426;;0;0;0;0;0;;;;;;;;;;;;;;;
URGENCES2;2024;020000394;CH LAON;020000253;GEN;3;1;IAOMAO;25435;3044;3561;4869;1427;51;4;1;0;0;0;0;916;196;10;5789;;4;1464;4688;3287;1420;1;0;0;1;1;1;;;;;;;;;
URGENCES2;2024;020000394;CH LAON;020000253;PED;3;1;IAO;9819;;;;;;;;;;;;;;;492;;1;0;135;109;29;;;;;;;;;;;;;;;
URGENCES2;2024;020000519;CH SOISSONS;020000261;GEN;3;1;IAO;36336;5245;5337;6704;2412;56;14;14;0;0;0;0;434;31;33;7152;;8;1508;1686;901;1009;1;0;0;0;1;0;;;;;;;;;
URGENCES2;2024;020000519;CH SOISSONS;020000261;PED;1;0;;12150;;;;;;;;;;;;;;;1208;;0;0;0;0;0;;;;;;;;;;;;;;;
URGENCES2;2024;020000535;CH CHAUNY;020000287;GEN;3;1;IAOMAO;19073;2286;2223;17916;1992;2183;57;35;;;;;1100;259;40;19073;;6;2190;2409;1234;1256;0;0;0;0;0;0;;;;;;;;;
