BOR;AN;FI;RS;FI_EJ;PERSO;ETPSAL;EFFLIB;COMEHPAD
USLD_P;2024;010000024;CH DE FLEYRIAT;010780054;M1320;1.71;;
USLD_P;2024;010000024;CH DE FLEYRIAT;010780054;MEDCH;1.71;;
USLD_P;2024;010000024;CH DE FLEYRIAT;010780054;N2210;10.9;;0
USLD_P;2024;010000024;CH DE FLEYRIAT;010780054;N2510;15.24;;0
USLD_P;2024;010000024;CH DE FLEYRIAT;010780054;NAUT;12.77;;0
USLD_P;2024;010000081;CH DU PAYS DE GEX;010780112;MEDCH;0.55;;
USLD_P;2024;010000081;CH DU PAYS DE GEX;010780112;N2210;3;;
USLD_P;2024;010000081;CH DU PAYS DE GEX;010780112;N2410;1.2;2;0
USLD_P;2024;010000081;CH DU PAYS DE GEX;010780112;N2460;0.2;;1
USLD_P;2024;010000081;CH DU PAYS DE GEX;010780112;N2510;4.1;;
USLD_P;2024;010000081;CH DU PAYS DE GEX;010780112;N3120;0.04;;
USLD_P;2024;010000081;CH DU PAYS DE GEX;010780112;NAUT;11.3;;
USLD_P;2024;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;M1320;0;;1
USLD_P;2024;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;MEDCH;0.99;;1
USLD_P;2024;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;N2210;7.59;;1
USLD_P;2024;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;N2410;2;;1
USLD_P;2024;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;N2460;0.15;;1
USLD_P;2024;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;N2510;8.65;;1
USLD_P;2024;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;N3120;0.11;;1
USLD_P;2024;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;NAUT;14.09;;1
USLD_P;2024;010009702;USLD EMILE PELICAND;010780054;M1320;1.71;;
USLD_P;2024;010009702;USLD EMILE PELICAND;010780054;MEDCH;1.71;;
USLD_P;2024;010009702;USLD EMILE PELICAND;010780054;N2210;3.28;;0
USLD_P;2024;010009702;USLD EMILE PELICAND;010780054;N2460;0.3;;0
USLD_P;2024;010009702;USLD EMILE PELICAND;010780054;N2510;7.56;;0
USLD_P;2024;010009702;USLD EMILE PELICAND;010780054;NAUT;5.1;;0
USLD_P;2024;010789576;USLD;010780096;M1320;0.98;;1
USLD_P;2024;010789576;USLD;010780096;MEDCH;0.98;;1
USLD_P;2024;010789576;USLD;010780096;N2210;9.96;;0
USLD_P;2024;010789576;USLD;010780096;N2410;0;1;
USLD_P;2024;010789576;USLD;010780096;N2510;8.21;;0
USLD_P;2024;010789576;USLD;010780096;N3120;0.05;;1
USLD_P;2024;010789576;USLD;010780096;NAUT;5.03;3;1
USLD_P;2024;010789717;USLD CH D'OYONNAX;010008407;MEDCH;0.9;0;
USLD_P;2024;010789717;USLD CH D'OYONNAX;010008407;N2210;4.73;0;
USLD_P;2024;010789717;USLD CH D'OYONNAX;010008407;N2510;9.06;0;
USLD_P;2024;010789717;USLD CH D'OYONNAX;010008407;NAUT;10.47;0;
USLD_P;2024;020000089;CH GUISE;020000022;MEDCH;0.6;0;0
USLD_P;2024;020000089;CH GUISE;020000022;N2210;7;0;0
USLD_P;2024;020000089;CH GUISE;020000022;N2410;0;0;1
USLD_P;2024;020000089;CH GUISE;020000022;N2460;0;0;1
USLD_P;2024;020000089;CH GUISE;020000022;N2510;13.5;0;0
USLD_P;2024;020000089;CH GUISE;020000022;N3120;0;0;1
USLD_P;2024;020000089;CH GUISE;020000022;NAUT;8;0;0
USLD_P;2024;020000162;CH SAINT-QUENTIN;020000063;M1320;0.6;;1
USLD_P;2024;020000162;CH SAINT-QUENTIN;020000063;MEDCH;0.6;;1
USLD_P;2024;020000162;CH SAINT-QUENTIN;020000063;N2210;7.99;;1
USLD_P;2024;020000162;CH SAINT-QUENTIN;020000063;N2460;0.5;;1
USLD_P;2024;020000162;CH SAINT-QUENTIN;020000063;N2510;33.03;;0
USLD_P;2024;020000162;CH SAINT-QUENTIN;020000063;NAUT;16.08;;0
USLD_P;2024;020000535;CH CHAUNY;020000287;M1320;0.7;;1
USLD_P;2024;020000535;CH CHAUNY;020000287;MEDCH;1.28;;1
USLD_P;2024;020000535;CH CHAUNY;020000287;N2210;8.06;;0
USLD_P;2024;020000535;CH CHAUNY;020000287;N2460;0.2;;1
USLD_P;2024;020000535;CH CHAUNY;020000287;N2510;17.44;;0
