1er jour de la semaine,Semaine,Classe d'âge,Taux de passages aux urgences pour COVID-19,Taux d'hospitalisations après passages aux urgences pour COVID-19,Taux d'actes médicaux SOS médecins pour COVID-19
2019-12-30,2020-S01,05-14 ans,0.0,0.0,0.0
2019-12-30,2020-S01,15-64 ans,0.0,0.0,0.0
2019-12-30,2020-S01,Tous âges,0.0,0.0,0.0
2020-01-06,2020-S02,00-04 ans,0.0,0.0,0.0
2020-01-13,2020-S03,00-04 ans,0.0,0.0,0.0
2020-01-13,2020-S03,05-14 ans,0.0,0.0,0.0
2020-01-13,2020-S03,15-64 ans,0.0,0.0,0.0
2020-01-13,2020-S03,65 ans ou plus,0.0,0.0,0.0
2020-01-20,2020-S04,15-64 ans,0.0,0.0,0.0
2020-01-27,2020-S05,00-04 ans,0.0,0.0,0.0
2020-01-27,2020-S05,65 ans ou plus,1.4433346804,3.3246891416,0.0
2020-01-27,2020-S05,Tous âges,0.5989404743,3.2783123248,0.0
2020-02-03,2020-S06,65 ans ou plus,0.0,0.0,0.0
2020-02-10,2020-S07,15-64 ans,0.0,0.0,0.0
2020-02-10,2020-S07,65 ans ou plus,0.0,0.0,0.0
2020-02-17,2020-S08,15-64 ans,3.5450726444,12.794813835,0.0
2020-02-17,2020-S08,65 ans ou plus,0.0,0.0,0.0
2020-02-17,2020-S08,Tous âges,1.9190358764,4.9195651104,0.0
2020-02-24,2020-S09,Tous âges,42.728285115,56.105273896,0.0
2020-03-02,2020-S10,15-64 ans,773.34292518,1335.166785,362.6687268
2020-03-16,2020-S12,00-04 ans,2115.4275508,3936.1702128,5859.8988961
2020-03-16,2020-S12,Tous âges,10079.251134,13617.490593,14506.265983
2020-03-23,2020-S13,65 ans ou plus,21609.257266,28816.80914,17396.785377
2020-03-30,2020-S14,15-64 ans,19840.238175,25263.715621,23725.436306
2020-03-30,2020-S14,Tous âges,17544.134022,24474.100882,19341.329182
2020-04-06,2020-S15,00-04 ans,1361.6602412,2901.124926,4005.6417489
2020-04-06,2020-S15,05-14 ans,1610.4363473,2479.8927614,7620.7513417
2020-04-06,2020-S15,65 ans ou plus,14383.967495,20195.068235,9111.2239716
2020-04-13,2020-S16,15-64 ans,9320.5806096,11286.129378,10851.29843
2020-04-13,2020-S16,65 ans ou plus,9982.587276,14512.396694,5943.7431667
2020-04-27,2020-S18,00-04 ans,881.47446638,1192.5042589,2188.5103208
2020-04-27,2020-S18,05-14 ans,981.71166178,1149.4252874,3766.0747091
2020-04-27,2020-S18,65 ans ou plus,6184.8341232,8782.8047013,3438.9227938
2020-04-27,2020-S18,Tous âges,4966.0940574,7220.7965617,5226.1097089
2020-05-04,2020-S19,05-14 ans,911.52473228,1350.6212858,3755.733945
2020-05-04,2020-S19,15-64 ans,4072.2843485,4833.0191871,5755.6147697
2020-05-04,2020-S19,Tous âges,3710.2482243,5512.7269859,4587.5477635
2020-05-11,2020-S20,65 ans ou plus,3528.4987497,5420.8692463,3294.6344525
2020-05-18,2020-S21,65 ans ou plus,2777.3745585,4400.5905866,3100.7042898
