date,service,lits_total,lits_occupes,lits_disponibles,taux_occupation,personnel_total,personnel_disponible,personnel_occupe
2020-01-01,Urgences,50,48,2,97.8,150,139,127
2020-01-01,Cardiologie,120,79,41,66.2,200,170,157
2020-01-01,Neurologie,100,72,28,72.8,180,170,143
2020-01-01,Maladies Infectieuses,80,52,28,65.3,140,128,100
2020-01-01,Pédiatrie,60,35,25,59.4,120,103,93
2020-01-01,Réanimation,104,95,9,91.7,312,286,201
2020-01-02,Urgences,50,46,4,93.7,150,141,117
2020-01-02,Cardiologie,120,100,20,83.9,200,174,140
2020-01-02,Neurologie,100,62,38,62.9,180,168,145
2020-01-02,Maladies Infectieuses,80,50,30,63.4,140,132,96
2020-01-02,Pédiatrie,60,36,24,60.5,120,112,90
2020-01-02,Réanimation,104,91,13,88.2,312,276,203
2020-01-03,Urgences,50,41,9,83.7,150,130,91
2020-01-03,Cardiologie,120,87,33,73.2,200,171,147
2020-01-03,Neurologie,100,64,36,64.9,180,158,124
2020-01-03,Maladies Infectieuses,80,47,33,59.9,140,119,86
2020-01-03,Pédiatrie,60,37,23,62.9,120,102,93
2020-01-03,Réanimation,104,86,18,82.7,312,288,207
2020-01-04,Urgences,50,47,3,94.9,150,136,98
2020-01-04,Cardiologie,120,79,41,66.4,200,180,153
2020-01-04,Neurologie,100,74,26,74.5,180,161,125
2020-01-04,Maladies Infectieuses,80,48,32,60.4,140,128,116
2020-01-04,Pédiatrie,60,33,27,56.3,120,112,90
2020-01-04,Réanimation,104,86,18,82.8,312,277,225
2020-01-05,Urgences,50,51,0,103.9,150,127,105
2020-01-05,Cardiologie,120,99,21,83.3,200,174,138
2020-01-05,Neurologie,100,64,36,64.5,180,160,131
2020-01-05,Maladies Infectieuses,80,47,33,59.4,140,128,98
2020-01-05,Pédiatrie,60,31,29,52.6,120,105,80
2020-01-05,Réanimation,104,84,20,81.6,312,280,248
2020-01-06,Urgences,50,44,6,89.7,150,136,125
