date,service,admissions,duree_moyenne,cout_total,cas_graves
2024-01-01,Cardiologie,64,4.5,305543.4,11
2024-01-01,Maladies Infectieuses,39,5.282051282051282,193548.03,5
2024-01-01,Neurologie,48,9.520833333333334,441788.39999999997,13
2024-01-01,Pédiatrie,50,2.38,189784.72,9
2024-01-01,Réanimation,26,9.961538461538462,190684.38,5
2024-01-01,Urgences,191,1.6282722513089005,975657.56,51
2024-01-02,Cardiologie,65,5.015384615384615,484074.55,19
2024-01-02,Maladies Infectieuses,37,6.1891891891891895,230209.52,9
2024-01-02,Neurologie,55,7.618181818181818,383037.16,16
2024-01-02,Pédiatrie,32,3.21875,199797.19,8
2024-01-02,Réanimation,28,7.678571428571429,135104.92,3
2024-01-02,Urgences,144,1.5555555555555556,692571.81,30
2024-01-03,Cardiologie,55,5.4363636363636365,359378.42,16
2024-01-03,Maladies Infectieuses,30,6.9,225828.94,9
2024-01-03,Neurologie,44,5.909090909090909,234275.11,6
2024-01-03,Pédiatrie,44,3.340909090909091,348504.7,14
2024-01-03,Réanimation,25,8.56,130408.14,2
2024-01-03,Urgences,193,1.528497409326425,989166.27,52
2024-01-04,Cardiologie,59,5.084745762711864,369102.49,11
2024-01-04,Maladies Infectieuses,40,6.15,322100.73,7
2024-01-04,Neurologie,61,7.639344262295082,480475.91,13
2024-01-04,Pédiatrie,40,2.9,222155.98,11
2024-01-04,Réanimation,30,11.1,216231.61000000002,7
2024-01-04,Urgences,197,1.6395939086294415,957009.36,52
2024-01-05,Cardiologie,64,4.328125,427817.62,15
2024-01-05,Maladies Infectieuses,32,7.125,276920.13,11
2024-01-05,Neurologie,47,6.468085106382978,277996.84,9
2024-01-05,Pédiatrie,32,2.96875,157769.5,10
2024-01-05,Réanimation,30,9.533333333333333,311244.61,6
2024-01-05,Urgences,170,1.5588235294117647,745487.05,45
2024-01-06,Cardiologie,43,5.255813953488372,308872.32,12
2024-01-06,Maladies Infectieuses,34,7.470588235294118,419589.55,11
2024-01-06,Neurologie,37,6.702702702702703,253530.51,9
2024-01-06,Pédiatrie,32,2.46875,122128.23,6
2024-01-06,Réanimation,28,9.285714285714286,140631.4,2
2024-01-06,Urgences,153,1.6143790849673203,729244.5,34
2024-01-07,Cardiologie,65,4.661538461538462,399185.44,14
2024-01-07,Maladies Infectieuses,41,6.7317073170731705,366832.54,12
2024-01-07,Neurologie,45,6.511111111111111,273595.8,7
2024-01-07,Pédiatrie,30,2.6,122458.77,8
2024-01-07,Réanimation,25,15.68,479037.19999999995,9
2024-01-07,Urgences,165,1.4848484848484849,776080.9,43
2024-01-08,Cardiologie,79,4.658227848101266,393226.78,17
2024-01-08,Maladies Infectieuses,45,5.688888888888889,306703.55,8
2024-01-08,Neurologie,55,8.472727272727273,858078.2000000001,13
2024-01-08,Pédiatrie,37,3.5945945945945947,353050.25,10
2024-01-08,Réanimation,46,9.956521739130435,484626.64,8
2024-01-08,Urgences,204,1.4803921568627452,919793.78,50
2024-01-09,Cardiologie,65,4.538461538461538,289979.4,11
2024-01-09,Maladies Infectieuses,51,7.176470588235294,511966.65,17
2024-01-09,Neurologie,45,8.466666666666667,419284.28,13
2024-01-09,Pédiatrie,51,2.7450980392156863,185983.15,9
2024-01-09,Réanimation,28,9.035714285714286,214058.33,4
2024-01-09,Urgences,160,1.45625,666583.01,40
2024-01-10,Cardiologie,60,4.383333333333334,307834.05,10
2024-01-10,Maladies Infectieuses,34,6.411764705882353,206838.94,8
2024-01-10,Neurologie,53,6.90566037735849,337754.76,7
2024-01-10,Pédiatrie,35,2.6857142857142855,189428.59,9
2024-01-10,Réanimation,20,11.8,219459.81,5
2024-01-10,Urgences,147,1.5918367346938775,736284.86,46
2024-01-11,Cardiologie,59,5.627118644067797,602558.67,16
2024-01-11,Maladies Infectieuses,37,6.513513513513513,283112.27,10
2024-01-11,Neurologie,41,9.0,422322.26,11
2024-01-11,Pédiatrie,49,2.7142857142857144,224747.34,11
2024-01-11,Réanimation,30,9.566666666666666,286468.79,5
2024-01-11,Urgences,172,1.494186046511628,790853.14,47
2024-01-12,Cardiologie,64,4.90625,531721.27,19
2024-01-12,Maladies Infectieuses,43,6.0,274302.84,10
2024-01-12,Neurologie,42,5.9523809523809526,253797.21,8
2024-01-12,Pédiatrie,37,3.0,163341.05,9
